npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 4 ms
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 4 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/main-app-6a1eec9c3997e59f.js
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 2 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/app/layout-b92bbc6315c3ffa1.js
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 0 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/22fd41b6-238cc2648186bedd.js
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 0 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/ec60cee0-e285e2d7c4156ca4.js
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/3eb478af-1f04f12a46c75c12.js
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/6ea8a349-fdd09f46f83e7389.js
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/903-2151b7c0b6be3c22.js
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 2 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/788-f4eddcd5dfacf431.js
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/app/page-4acca4d1b6e59c9e.js
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_vercel/insights/script.js
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 404 in 3 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /1784458869444~2.jpg
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 200 in 2 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 1 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /logo.png
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/css/862f566055b115d7.css
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 2 ms
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 1 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/webpack-90f10984f768153b.js
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/a5e77c88-05bbcf6a40d5e8b9.js
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/152-72a1e100ab7100a1.js
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/main-app-6a1eec9c3997e59f.js
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/app/layout-b92bbc6315c3ffa1.js
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/22fd41b6-238cc2648186bedd.js
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 1 ms
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 2 ms
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 2 ms
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 3 ms
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 3 ms
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 3 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/ec60cee0-e285e2d7c4156ca4.js
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 10 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/3eb478af-1f04f12a46c75c12.js
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/6ea8a349-fdd09f46f83e7389.js
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/903-2151b7c0b6be3c22.js
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 3 ms
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 3 ms
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 2 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/788-f4eddcd5dfacf431.js
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 2 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_next/static/chunks/app/page-4acca4d1b6e59c9e.js
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 200 in 4 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /_vercel/insights/script.js
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 404 in 2 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /video-thumbnail.jpg
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 404 in 1 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 206 in 2 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 206 in 1 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 206 in 1 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 206 in 1 ms
 HTTP  8/15/2026 11:47:39 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:39 AM ::1 Returned 206 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 2 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/css/862f566055b115d7.css
 HTTP  8/15/2026 11:47:41 AM ::1 GET /logo.png
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 0 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/webpack-90f10984f768153b.js
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/a5e77c88-05bbcf6a40d5e8b9.js
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 2 ms
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 2 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/152-72a1e100ab7100a1.js
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/main-app-6a1eec9c3997e59f.js
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 0 ms
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/22fd41b6-238cc2648186bedd.js
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/app/layout-b92bbc6315c3ffa1.js
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/ec60cee0-e285e2d7c4156ca4.js
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/3eb478af-1f04f12a46c75c12.js
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/6ea8a349-fdd09f46f83e7389.js
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 2 ms
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 2 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/903-2151b7c0b6be3c22.js
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/788-f4eddcd5dfacf431.js
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_next/static/chunks/app/page-4acca4d1b6e59c9e.js
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /_vercel/insights/script.js
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 404 in 1 ms
 HTTP  8/15/2026 11:47:41 AM ::1 GET /1784458869444~2.jpg
 HTTP  8/15/2026 11:47:41 AM ::1 Returned 200 in 0 ms
 HTTP  8/15/2026 11:47:43 AM ::1 GET /1784480382765~2.jpg
 HTTP  8/15/2026 11:47:43 AM ::1 GET /1784480368941~2.jpg
 HTTP  8/15/2026 11:47:43 AM ::1 GET /1784562849790.png
 HTTP  8/15/2026 11:47:43 AM ::1 GET /IMG_20260720_142354.png
 HTTP  8/15/2026 11:47:43 AM ::1 GET /IMG_20260720_211413.png
 HTTP  8/15/2026 11:47:43 AM ::1 GET /1784621763019.png
 HTTP  8/15/2026 11:47:43 AM ::1 Returned 200 in 24 ms
 HTTP  8/15/2026 11:47:43 AM ::1 Returned 200 in 25 ms
 HTTP  8/15/2026 11:47:43 AM ::1 GET /IMG_20260719_203213.png
 HTTP  8/15/2026 11:47:43 AM ::1 Returned 200 in 33 ms
 HTTP  8/15/2026 11:47:43 AM ::1 GET /IMG_20260720_142332.png
 HTTP  8/15/2026 11:47:43 AM ::1 Returned 200 in 34 ms
 HTTP  8/15/2026 11:47:43 AM ::1 Returned 200 in 38 ms
 HTTP  8/15/2026 11:47:43 AM ::1 Returned 200 in 39 ms
 HTTP  8/15/2026 11:47:43 AM ::1 Returned 200 in 8 ms
 HTTP  8/15/2026 11:47:43 AM ::1 Returned 200 in 13 ms
 HTTP  8/15/2026 11:47:43 AM ::1 GET /IMG_20260720_142227.png
 HTTP  8/15/2026 11:47:43 AM ::1 Returned 200 in 10 ms
